imdb_title_id,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote
tt4641882,8.2,8.5,8.4,6.8,8.3,7.1
tt4642044,5.1,5.4,5.1,5.1,5.1,5.3
tt4642192,7.2,7.4,7.1,7.3,7.2,7.5
tt4642386,4.6,4.7,4.5,2.0,4.4,6.5
tt4642936,5.5,3.0,2.9,3.0,3.0,2.4
tt4643048,5.3,7.1,5.6,3.7,5.0,4.6
tt4643400,7.1,7.1,6.8,6.9,7.1,6.9
tt4643432,7.0,7.1,6.9,6.9,6.9,7.2
tt4643520,6.9,7.2,6.5,6.6,6.8,6.4
tt4643580,5.8,5.9,5.8,5.1,5.7,6.0
tt4643844,6.7,6.6,6.6,6.7,6.6,6.7
tt4644302,7.0,7.4,6.4,6.3,6.8,7.3
tt4644382,6.8,7.0,6.8,6.5,6.8,7.2
tt4644836,2.0,1.8,1.9,2.3,2.1,1.9
tt4645330,6.7,6.7,6.6,6.8,6.6,6.9
tt4645368,6.9,7.1,6.8,6.7,6.8,7.1
tt4647432,4.3,4.3,4.7,3.7,4.1,5.1
tt4647482,6.7,6.6,6.7,6.9,6.7,7.0
tt4647784,6.1,6.2,5.9,6.3,6.1,6.3
tt4647788,6.7,6.8,6.7,6.8,6.7,7.0
tt4648304,6.0,6.0,5.8,4.9,5.9,5.4
tt4648732,5.5,4.8,5.2,5.6,5.3,7.4
tt4648786,6.5,6.3,6.3,6.8,6.3,7.1
tt4648826,5.9,6.5,5.1,5.2,5.6,5.7
tt4649416,6.1,6.3,5.9,6.0,5.8,6.4
tt4649466,6.7,6.9,6.6,6.6,6.7,6.9
tt4649814,2.0,1.5,2.2,3.2,2.0,2.3
tt4650414,6.1,6.2,5.9,6.0,6.0,5.9
tt4650624,4.4,4.6,4.4,4.4,4.5,4.6
tt4650738,6.5,6.7,6.6,6.3,6.6,6.2
tt4651298,5.0,3.5,5.4,5.2,5.0,5.6
tt4651394,3.8,4.1,3.5,4.3,3.7,4.4
tt4651410,4.6,4.9,4.6,4.6,4.6,4.6
tt4651460,4.1,3.6,4.1,4.5,4.1,4.3
tt4651520,6.2,6.4,6.1,6.1,6.0,6.6
tt4651666,5.6,5.9,5.3,5.8,5.7,5.2
tt4652164,5.4,5.2,5.3,5.1,5.2,5.4
tt4652380,5.8,5.6,5.8,6.5,6.1,5.6
tt4652532,5.4,5.7,5.3,5.4,5.3,5.8
tt4652570,7.7,7.0,5.3,7.0,5.9,7.1
tt4652650,6.7,6.7,6.6,6.8,6.7,6.8
tt4653310,7.8,7.5,7.8,7.7,7.6,8.1
tt4653486,6.6,6.7,6.5,6.8,6.5,6.7
tt4653492,6.6,6.7,6.5,6.3,6.5,6.5
tt4653586,4.4,4.5,4.2,4.6,4.4,4.4
tt4653808,5.2,6.9,4.4,5.0,4.8,6.6
tt4653818,3.5,2.6,3.3,3.9,3.5,2.7
tt4653950,5.2,5.3,4.9,5.3,5.1,5.2
tt4654016,5.1,5.5,5.1,4.8,5.2,4.4
tt4654184,7.4,7.6,7.2,7.6,7.4,7.8
tt4654472,6.9,7.4,7.3,6.7,6.7,7.2
tt4654738,6.3,6.0,6.6,5.7,6.3,4.2
tt4654798,5.2,5.4,4.9,6.3,5.3,5.7
tt4654818,8.0,6.9,7.8,9.3,7.9,7.6
tt4655294,4.5,3.9,4.4,5.7,4.6,4.2
tt4655630,3.6,4.1,3.6,3.4,3.6,3.2
tt4656810,2.8,3.3,2.7,2.9,2.7,4.1
tt4657092,5.6,5.7,5.4,5.7,5.2,6.0
tt4657400,4.9,4.1,5.1,5.7,4.9,5.4
tt4657460,5.8,6.1,5.6,5.6,5.8,5.9
tt4657764,3.8,3.1,3.9,6.0,3.4,4.2
tt4657804,7.0,6.6,7.3,6.7,6.8,7.4
tt4658770,8.5,8.6,8.2,6.5,8.4,8.2
tt4658786,7.2,7.6,6.9,6.5,7.2,7.4
tt4659056,7.8,7.8,7.7,7.9,7.7,8.0
tt4659548,6.9,6.8,6.2,7.2,6.7,5.6
tt4659710,6.3,5.0,6.1,5.4,5.9,5.7
tt4660172,5.3,5.0,5.4,5.5,5.3,5.4
tt4660248,5.3,5.4,5.4,4.8,5.3,5.3
tt4660736,6.5,6.4,6.5,6.5,6.4,6.7
tt4660980,5.8,5.9,5.6,5.5,5.7,6.1
tt4661276,3.8,4.4,3.8,3.4,3.8,4.8
tt4661680,3.7,3.7,3.1,3.7,3.1,4.5
tt4661798,5.9,6.2,5.8,5.4,5.9,5.7
tt4662396,8.0,6.8,8.9,6.5,7.2,9.1
tt4662420,5.7,5.7,5.7,5.9,5.7,5.8
tt4663284,5.9,6.2,5.9,5.5,5.6,6.7
tt4663548,6.1,5.7,5.7,6.3,5.9,6.5
tt4663708,4.8,4.2,4.9,5.4,5.0,2.9
tt4663796,5.6,5.5,5.8,5.3,5.7,5.4
tt4663992,7.1,7.3,7.0,6.9,7.1,6.9
tt4664092,5.4,5.4,5.4,5.1,5.4,5.1
tt4664244,6.8,6.6,6.4,7.0,6.6,7.3
tt4665586,4.4,4.8,4.1,4.8,4.4,4.5
tt4665630,5.7,5.2,5.5,5.5,5.5,5.5
tt4665976,6.7,5.0,3.8,6.3,4.7,6.3
tt4666726,6.9,7.2,6.8,6.7,6.9,6.8
tt4667084,5.4,5.3,5.5,5.3,5.3,5.8
tt4667094,3.5,3.6,3.5,3.2,3.5,3.6
tt4667788,6.8,7.1,6.8,6.8,6.8,7.2
tt4667854,5.3,5.3,5.3,5.5,5.4,5.2
tt4668834,5.2,4.9,5.3,5.2,5.1,5.2
tt4669210,6.5,6.7,6.5,6.4,6.5,6.6
tt4669252,5.8,5.8,5.6,6.0,5.7,6.4
tt4669264,6.4,6.4,6.4,6.6,6.4,6.5
tt4669278,3.6,3.4,3.5,3.6,3.5,3.9
tt4669296,6.5,6.3,6.6,6.5,6.5,6.6
tt4669788,7.0,7.1,6.9,7.1,6.8,7.4
tt4669954,7.7,7.9,7.4,6.9,7.5,7.9
tt4669986,7.0,7.0,6.9,7.1,7.0,7.1
tt4670016,4.5,4.4,4.5,4.5,4.4,4.7
tt4671002,5.9,5.9,5.9,5.9,5.8,6.2
tt4671274,7.1,7.2,7.2,7.0,7.2,7.0
tt4672350,5.6,5.6,5.3,7.2,5.5,6.2
tt4673790,6.2,6.3,6.2,6.1,6.2,6.4
tt4673872,5.4,5.2,6.6,4.5,5.5,7.5
tt4674500,5.3,5.9,5.3,5.4,5.4,6.1
tt4675030,3.7,3.6,3.6,4.1,3.7,3.2
tt4675312,6.0,6.2,6.0,5.9,5.9,6.6
tt4675370,5.8,6.0,5.7,5.8,5.8,6.1
tt4675926,6.5,6.3,6.5,6.6,6.4,6.9
tt4675974,5.3,5.5,4.9,5.3,5.2,4.4
tt4675986,6.9,5.9,6.7,7.3,6.7,7.2
tt4676044,4.8,4.4,4.8,5.3,4.8,4.9
tt4676140,5.8,6.1,5.5,5.4,5.8,5.6
tt4676238,5.5,5.1,5.5,5.6,5.4,5.7
tt4676508,6.3,6.6,5.3,5.2,5.9,6.2
tt4677134,5.8,6.2,5.2,6.0,5.5,6.1
tt4677348,5.2,5.0,5.3,5.0,5.1,5.5
tt4677578,6.6,6.5,6.5,6.8,6.4,6.9
tt4677924,4.3,4.5,4.2,4.0,4.2,4.7
tt4678184,3.9,3.6,3.9,3.9,3.8,3.9
tt4678200,7.4,6.8,7.6,6.7,7.3,9.5
tt4678298,5.3,4.0,5.1,5.7,5.2,5.3
tt4678788,3.2,3.1,3.0,6.1,3.2,3.2
tt4679092,1.7,1.4,1.8,2.7,1.7,2.0
tt4679144,7.0,7.2,7.1,6.9,6.9,7.3
tt4679186,5.8,6.1,5.5,5.2,5.8,5.8
tt4679210,8.3,8.4,8.1,6.2,8.3,7.7
tt4679238,6.4,6.8,6.4,6.2,6.4,6.7
tt4679438,6.7,7.2,6.6,6.8,6.6,7.4
tt4680182,6.2,6.4,6.1,6.1,6.2,6.1
tt4680196,4.6,4.9,4.5,4.5,4.5,4.8
tt4680278,5.7,6.0,5.5,6.0,4.8,6.3
tt4680368,4.0,2.7,4.0,3.4,3.5,4.1
tt4680564,6.1,6.3,6.2,6.3,6.2,6.0
tt4680568,4.6,4.9,4.4,4.5,4.4,4.9
tt4680980,5.4,5.5,5.3,5.4,5.3,5.5
tt4681414,6.8,6.9,6.7,6.8,6.8,6.8
